symbol,date,price
FND46944.NZ,2024-03-07,1.0
FND46944.NZ,2024-03-08,1.0044
FND46944.NZ,2024-03-11,1.0068
FND46944.NZ,2024-03-12,1.0063
FND46944.NZ,2024-03-13,1.0049
FND46944.NZ,2024-03-14,1.0039
FND46944.NZ,2024-03-15,1.0018
FND46944.NZ,2024-03-18,1.0035
FND46944.NZ,2024-03-19,1.0042
FND46944.NZ,2024-03-20,1.0077
FND46944.NZ,2024-03-21,1.0073
FND46944.NZ,2024-03-22,1.007
FND46944.NZ,2024-03-25,1.0107
FND46944.NZ,2024-03-26,1.0084
FND46944.NZ,2024-03-27,1.0091
FND46944.NZ,2024-03-28,1.0113
FND46944.NZ,2024-03-29,1.0113
FND46944.NZ,2024-04-01,1.0116
FND46944.NZ,2024-04-02,1.0095
FND46944.NZ,2024-04-03,1.0077
FND46944.NZ,2024-04-04,1.0066
FND46944.NZ,2024-04-05,1.0089
FND46944.NZ,2024-04-08,1.0052
FND46944.NZ,2024-04-09,1.0051
FND46944.NZ,2024-04-10,1.0088
FND46944.NZ,2024-04-11,1.0002
FND46944.NZ,2024-04-12,0.9986
FND46944.NZ,2024-04-15,1.0019
FND46944.NZ,2024-04-16,0.9979
FND46944.NZ,2024-04-17,0.9957
FND46944.NZ,2024-04-18,1.0003
FND46944.NZ,2024-04-19,1.0019
FND46944.NZ,2024-04-22,0.9989
FND46944.NZ,2024-04-23,1.0031
FND46944.NZ,2024-04-24,1.0004
FND46944.NZ,2024-04-25,1.0004
FND46944.NZ,2024-04-26,0.9958
FND46944.NZ,2024-04-29,0.9985
FND46944.NZ,2024-04-30,1.004
FND46944.NZ,2024-05-01,1.0036
FND46944.NZ,2024-05-02,1.0073
FND46944.NZ,2024-05-03,1.0101
FND46944.NZ,2024-05-06,1.0122
FND46944.NZ,2024-05-07,1.0127
FND46944.NZ,2024-05-08,1.0138
FND46944.NZ,2024-05-09,1.0104
FND46944.NZ,2024-05-10,1.0137
FND46944.NZ,2024-05-13,1.0146
FND46944.NZ,2024-05-14,1.0156
FND46944.NZ,2024-05-15,1.0168
FND46944.NZ,2024-05-16,1.0214
FND46944.NZ,2024-05-17,1.0197
FND46944.NZ,2024-05-20,1.0203
FND46944.NZ,2024-05-21,1.0199
FND46944.NZ,2024-05-22,1.0166
FND46944.NZ,2024-05-23,1.0148
FND46944.NZ,2024-05-24,1.0124
FND46944.NZ,2024-05-27,1.0129
FND46944.NZ,2024-05-28,1.011
FND46944.NZ,2024-05-29,1.0081
FND46944.NZ,2024-05-30,1.0112
FND46944.NZ,2024-05-31,1.0149
FND46944.NZ,2024-06-03,1.0149
FND46944.NZ,2024-06-04,1.0169
FND46944.NZ,2024-06-05,1.019
FND46944.NZ,2024-06-06,1.0209
FND46944.NZ,2024-06-07,1.0205
FND46944.NZ,2024-06-10,1.0171
FND46944.NZ,2024-06-11,1.0172
FND46944.NZ,2024-06-12,1.0187
FND46944.NZ,2024-06-13,1.023
FND46944.NZ,2024-06-14,1.0258
FND46944.NZ,2024-06-17,1.0262
FND46944.NZ,2024-06-18,1.0266
FND46944.NZ,2024-06-19,1.0294
FND46944.NZ,2024-06-20,1.0256
FND46944.NZ,2024-06-21,1.0255
FND46944.NZ,2024-06-24,1.0279
FND46944.NZ,2024-06-25,1.0287
FND46944.NZ,2024-06-26,1.0252
FND46944.NZ,2024-06-27,1.0236
FND46944.NZ,2024-06-28,1.0237
FND46944.NZ,2024-07-01,1.025
FND46944.NZ,2024-07-02,1.0242
FND46944.NZ,2024-07-03,1.0248
FND46944.NZ,2024-07-04,1.0252
FND46944.NZ,2024-07-05,1.0265
FND46944.NZ,2024-07-08,1.0292
FND46944.NZ,2024-07-09,1.0313
FND46944.NZ,2024-07-10,1.0373
FND46944.NZ,2024-07-11,1.0378
FND46944.NZ,2024-07-12,1.0416
FND46944.NZ,2024-07-15,1.0448
FND46944.NZ,2024-07-16,1.0343
FND46944.NZ,2024-07-17,1.0324
FND46944.NZ,2024-07-18,1.0344
FND46944.NZ,2024-07-19,1.0344
FND46944.NZ,2024-07-22,1.0339
FND46944.NZ,2024-07-23,1.0351
FND46944.NZ,2024-07-24,1.0369
FND46944.NZ,2024-07-25,1.0376
FND46944.NZ,2024-07-26,1.04
FND46944.NZ,2024-07-29,1.0402
FND46944.NZ,2024-07-30,1.0381
FND46944.NZ,2024-07-31,1.0389
FND46944.NZ,2024-08-01,1.0414
FND46944.NZ,2024-08-02,1.0429
FND46944.NZ,2024-08-05,1.0487
FND46944.NZ,2024-08-06,1.0446
FND46944.NZ,2024-08-07,1.0399
FND46944.NZ,2024-08-08,1.0428
FND46944.NZ,2024-08-09,1.0442
FND46944.NZ,2024-08-12,1.0442
FND46944.NZ,2024-08-13,1.0455
FND46944.NZ,2024-08-14,1.0496
FND46944.NZ,2024-08-15,1.0535
FND46944.NZ,2024-08-16,1.0541
FND46944.NZ,2024-08-19,1.0525
FND46944.NZ,2024-08-20,1.0502
FND46944.NZ,2024-08-21,1.0518
FND46944.NZ,2024-08-22,1.0522
FND46944.NZ,2024-08-23,1.0515
FND46944.NZ,2024-08-26,1.0538
FND46944.NZ,2024-08-27,1.0514
FND46944.NZ,2024-08-28,1.0513
FND46944.NZ,2024-08-29,1.0491
FND46944.NZ,2024-08-30,1.0484
FND46944.NZ,2024-09-02,1.0474
FND46944.NZ,2024-09-03,1.0482
FND46944.NZ,2024-09-04,1.0525
FND46944.NZ,2024-09-05,1.0548
FND46944.NZ,2024-09-06,1.0558
FND46944.NZ,2024-09-09,1.0549
FND46944.NZ,2024-09-10,1.056
FND46944.NZ,2024-09-11,1.0591
FND46944.NZ,2024-09-12,1.0584
FND46944.NZ,2024-09-13,1.0612
FND46944.NZ,2024-09-16,1.0629
FND46944.NZ,2024-09-17,1.0619
FND46944.NZ,2024-09-18,1.0612
FND46944.NZ,2024-09-19,1.0603
FND46944.NZ,2024-09-20,1.0616
FND46944.NZ,2024-09-23,1.0611
FND46944.NZ,2024-09-24,1.0612
FND46944.NZ,2024-09-25,1.0624
FND46944.NZ,2024-09-26,1.0618
FND46944.NZ,2024-09-27,1.0622
FND46944.NZ,2024-09-30,1.0622
FND46944.NZ,2024-10-01,1.0626
FND46944.NZ,2024-10-02,1.0634
FND46944.NZ,2024-10-03,1.0631
FND46944.NZ,2024-10-04,1.0628
FND46944.NZ,2024-10-07,1.0595
FND46944.NZ,2024-10-08,1.0585
